"TOA5","Pinyon1","CR1000X","12170","CR1000X.Std.03.02","CPU:PinyonSensorsDec11.CR1X","6924","Table2"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Min","PTemp_C_TMn","PTemp_C_Max","PTemp_C_TMx","AirTC_Max","AirTC_TMx","AirTC_Min","AirTC_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn","Rain_mm_Tot"
"TS","RN","Volts","Deg C","","Deg C","","Deg C","","Deg C","","%","","%","","mm"
"","","Min","Min","TMn","Max","TMx","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Tot"
"2020-03-06 00:00:00",84,12.91,2.06,"2020-03-05 06:20:00",31.07,"2020-03-05 15:40:00",18.38,"2020-03-05 14:10:00",4.795,"2020-03-05 04:40:00",56.34,"2020-03-05 04:40:00",20.51,"2020-03-05 16:10:00",0
"2020-03-07 00:00:00",85,12.9,0.281,"2020-03-06 06:30:00",31.71,"2020-03-06 15:20:00",20.02,"2020-03-06 13:00:00",4.319,"2020-03-06 04:00:00",51.54,"2020-03-06 04:00:00",22.66,"2020-03-06 08:20:00",0
"2020-03-08 00:00:00",86,12.92,4.721,"2020-03-07 06:10:00",19.19,"2020-03-07 16:00:00",13.16,"2020-03-07 14:20:00",4.348,"2020-03-07 23:50:00",80.7,"2020-03-07 23:50:00",31.12,"2020-03-07 14:40:00",0
"2020-03-09 00:00:00",87,12.92,2.905,"2020-03-08 06:40:00",20.39,"2020-03-08 16:10:00",12.79,"2020-03-08 15:20:00",2.933,"2020-03-08 05:00:00",78.14,"2020-03-08 05:00:00",28.49,"2020-03-08 23:50:00",0
"2020-03-10 00:00:00",88,12.92,3.781,"2020-03-09 06:40:00",25.29,"2020-03-09 14:00:00",12.61,"2020-03-09 14:10:00",5.155,"2020-03-09 06:20:00",92.5,"2020-03-09 23:50:00",21.67,"2020-03-09 00:30:00",0
"2020-03-11 00:00:00",89,12.93,7.422,"2020-03-10 23:20:00",13.22,"2020-03-10 12:00:00",8.12,"2020-03-10 09:40:00",6.382,"2020-03-10 23:00:00",95,"2020-03-10 21:30:00",92.4,"2020-03-10 00:20:00",0
"2020-03-12 00:00:00",90,12.94,4.98,"2020-03-11 06:30:00",24.08,"2020-03-11 11:50:00",12.77,"2020-03-11 15:50:00",5.04,"2020-03-11 06:20:00",95.1,"2020-03-11 05:20:00",64.29,"2020-03-11 09:10:00",0
"2020-03-13 00:00:00",91,12.93,4.893,"2020-03-12 22:20:00",10.46,"2020-03-12 17:10:00",9.66,"2020-03-12 08:20:00",4.654,"2020-03-12 19:30:00",93.9,"2020-03-12 10:20:00",73.01,"2020-03-12 20:00:00",0
"2020-03-14 00:00:00",92,12.93,3.733,"2020-03-13 06:20:00",15.41,"2020-03-13 11:50:00",9.89,"2020-03-13 11:40:00",3.881,"2020-03-13 06:10:00",93.3,"2020-03-13 17:50:00",65.12,"2020-03-13 11:40:00",0
"2020-03-15 00:00:00",93,12.94,4.612,"2020-03-14 06:00:00",17.92,"2020-03-14 13:40:00",12.63,"2020-03-14 13:00:00",4.72,"2020-03-14 23:10:00",87.4,"2020-03-14 03:50:00",50.1,"2020-03-14 13:00:00",0
